repo,level,issueId
backstage/community-plugins,Beginner,3898
backstage/community-plugins,Beginner,3899
backstage/community-plugins,Beginner,3900
backstage/community-plugins,Beginner,3901
backstage/backstage,Intermediate,31750
backstage/backstage,Intermediate,31751
backstage/backstage,Intermediate,31752
backstage/backstage,Intermediate,31547
backstage/backstage,Intermediate,31546
backstage/backstage,Beginner,31544
backstage/backstage,Beginner,31542
backstage/backstage,Beginner,31541
backstage/backstage,Beginner,31540
backstage/backstage,Beginner,31539
backstage/backstage,Intermediate,31502
backstage/backstage,Intermediate,31487
backstage/backstage,Beginner,31446
backstage/backstage,Beginner,31388
backstage/backstage,Intermediate,31273
backstage/backstage,Beginner,31180
backstage/backstage,Beginner,31175
backstage/backstage,Intermediate,30989
backstage/backstage,Intermediate,30979
backstage/backstage,Intermediate,30740
backstage/backstage,Beginner,30442
backstage/backstage,Intermediate,29671
backstage/backstage,Intermediate,29670
backstage/backstage,Beginner,29662
backstage/backstage,Intermediate,27009
backstage/backstage,Intermediate,21970
backstage/backstage,Intermediate,20955
backstage/backstage,Intermediate,13668
backstage/backstage,Intermediate,13402
backstage/backstage,Intermediate,9461
backstage/backstage,Intermediate,6366
backstage/backstage,Intermediate,6109
backstage/community-plugins,Beginner,5906
backstage/community-plugins,Intermediate,5267
backstage/community-plugins,Beginner,4841
backstage/community-plugins,Intermediate,4343
backstage/community-plugins,Beginner,4056
backstage/community-plugins,Intermediate,3978
backstage/community-plugins,Intermediate,2913
backstage/community-plugins,Beginner,2601
backstage/community-plugins,Intermediate,1776
backstage/community-plugins,Advanced,1293
backstage/community-plugins,Intermediate,894
backstage/community-plugins,Intermediate,844
backstage/community-plugins,Beginner,705
backstage/community-plugins,Intermediate,629
backstage/community-plugins,Beginner,413
backstage/community-plugins,Intermediate,186
backstage/community-plugins,Beginner,5992
backstage/community-plugins,Beginner,5994
backstage/backstage,Intermediate,31749
backstage/backstage,Advanced,32407
backstage/backstage,Intermediate,32574
backstage/backstage,Advanced,32509
backstage/backstage,Advanced,32367
backstage/backstage,Intermediate,32750
backstage/backstage,Beginner,32749
backstage/backstage,Beginner,32748
backstage/backstage,Beginner,32747
backstage/backstage,Beginner,32746
backstage/backstage,Beginner,32745
backstage/backstage,Intermediate,32724
backstage/backstage,Beginner,32721
backstage/backstage,Beginner,32720
backstage/backstage,Beginner,32719
backstage/backstage,Intermediate,32718
backstage/backstage,Beginner,32717
backstage/backstage,Beginner,32716
backstage/backstage,Intermediate,32715
backstage/community-plugins,Intermediate,7534
backstage/community-plugins,Intermediate,7533
backstage/community-plugins,Intermediate,7532
backstage/community-plugins,Beginner,7531
backstage/community-plugins,Beginner,7539
backstage/community-plugins,Beginner,7538
backstage/community-plugins,Beginner,7537
backstage/community-plugins,Beginner,7536
backstage/community-plugins,Beginner,7535